row,item,version,letter,sentence,sentence_spr,comp_q,comp_q_type,comp_q_answer,condition,list,life_status,life_mismatch,fact_mismatch,type,occupation,file_name,year_time,fact_time,year_fact,qm0,im_jahr,year,perfect,pp,det_nom,objnp,qm1,fact,qm2,verb,comma,qm3,spillover_verb,name,real_name,wrong_name,name_match,spillover_pp
434,17,68,b,68b,"„Im Jahr*1942*habe ich*die Nation*U.S.A.*regiert,“*das berichtete*Winston Churchill*einer Tageszeitung.","Er berichtete, dass er 1937 Spanien regiert hat.",year_fact_mismatch,no,fact mismatch,2,dead,match,mismatch,critical,Policitians,Winston_Churchill.jpg,old,old,match,„,Im Jahr,1942,habe ich,die,Die,Nation,,U.S.A.,,regiert,",",“,das berichtete,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,yes,einer Tageszeitung.
439,20,77,c,77c,"„Im Jahr*2008*habe ich*meine Erfindung*‚Glühbirne‘*vermarktet,“*das schilderte*Thomas Edison*einer Tageszeitung.","Er schilderte, dass er 2008 die Glühbirne vermarktet hat.",match,yes,life mismatch,8,dead,mismatch,match,critical,Creators,Thomas_Edison.jpg,old,old,match,„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Glühbirne,‘,vermarktet,",",“,das schilderte,Thomas Edison,Thomas Edison,Henry Ford,no,einer Tageszeitung.
440,20,79,c,79c,"„Im Jahr*1908*habe ich*meine Erfindung*‚Tesla Roadster‘*vermarktet,“*das schilderte*Elon Musk*einer Tageszeitung.","Er schilderte, dass er den Tesla Roadster vermarktet hat.",match,yes,life mismatch,8,alive,mismatch,match,critical,Creators,Elon_Musk.jpg,new,new,match,„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Tesla Roadster,‘,vermarktet,",",“,das schilderte,Elon Musk,Elon Musk,Mark Zuckerberg,no,einer Tageszeitung.
443,22,85,a,85a,"„Im Jahr*2018*habe ich*in dem Film*‚A Star is Born‘*mitgespielt,“*das verkündete*Bradley Cooper*auf dem roten Teppich.","Er verkündete, dass er in ""A Star is Born"" mitgespielt hat.",match,yes,full match,8,alive,match,match,critical,Actors,Bradley_Cooper.jpg,NA,Der,NA,„,Im Jahr,2018,habe ich,in dem,Der,Film,‚,A Star is Born,‘,mitgespielt,",",“,das verkündete,Bradley Cooper,Bradley Cooper,Emma Stone,NA,auf dem roten Teppich.
444,22,87,a,87a,"„Im Jahr*1962*habe ich*in dem Film*‚Doktor Schiwago‘*mitgespielt,“*das verkündete*Omar Sharif*auf dem roten Teppich.","Er verkündete, dass er 1962 in dem Film mitgespielt hat.",match,yes,full match,8,dead,match,match,critical,Actors,Omar_Sharif.jpg,NA,Der,NA,„,Im Jahr,1962,habe ich,in dem,Der,Film,‚,Doktor Schiwago,‘,mitgespielt,",",“,das verkündete,Omar Sharif,Omar Sharif,John Wayne,NA,auf dem roten Teppich.
449,25,98,b,98b,"„Im Jahr*2014*habe ich*das Lied*‚Rolling in the Deep‘*herausgebracht,“*das stellte*Bruno Mars*bei einer Pressekonferenz fest.","Er stellte fest, dass er 2014 ""Rolling in the Deep"" herausgebracht hat.",match,yes,fact mismatch,7,alive,match,mismatch,critical,Musicians,Bruno_Mars.jpg,new,new,match,„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Rolling in the Deep,‘,herausgebracht,",",“,das stellte,Bruno Mars,Bruno Mars,Adele,yes,bei einer Pressekonferenz fest.
450,25,100,b,100b,"„Im Jahr*1975*habe ich*das Lied*‚Stand By Me‘*herausgebracht,“*das stellte*Bob Marley*bei einer Pressekonferenz fest.","Er stellte fest, dass er 1975 ""Stand By Me"" herausgebracht hat.",match,yes,fact mismatch,7,dead,match,mismatch,critical,Musicians,Bob_Marley.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Das,Lied,‚,Stand By Me,‘,herausgebracht,",",“,das stellte,Bob Marley,Bob Marley,John Lennon,yes,bei einer Pressekonferenz fest.
453,27,105,d,105d,"„Im Jahr*2017*habe ich*das Lied*‚The Show Must Go On‘*aufgenommen,“*das berichtete*Prince*auf einer Aftershowparty.","Er berichtete, dass er 2019 ""The Show Must Go On"" aufgenommen hat.",year_mismatch,no,life-fact mismatch,8,dead,mismatch,mismatch,critical,Musicians,Prince.jpg,old,old,match,„,Im Jahr,2017,habe ich,das,Das,Lied,‚,The Show Must Go On,‘,aufgenommen,",",“,das berichtete,Prince,Prince,Freddie Mercury,yes,auf einer Aftershowparty.
454,27,107,d,107d,"„Im Jahr*1991*habe ich*das Lied*‚Sign of the Times‘*aufgenommen,“*das berichtete*Ed Sheeran*auf einer Aftershowparty.","Er berichtete, dass er 1993 ""Sign of the Times"" aufgenommen hat.",year_mismatch,no,life-fact mismatch,8,alive,mismatch,mismatch,critical,Musicians,Ed_Sheeran.jpg,new,new,match,„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Sign of the Times,‘,aufgenommen,",",“,das berichtete,Ed Sheeran,Ed Sheeran,Harry Styles,yes,auf einer Aftershowparty.
457,29,113,b,113b,"„Im Jahr*2013*habe ich*das Lied*‚Atemlos durch die Nacht‘*veröffentlicht,“*das äußerte*Psy*gegenüber interessierten Fans.","Er äußerte, dass er 2010 ""Gentleman"" veröffentlicht hat.",year_fact_mismatch,no,fact mismatch,4,alive,match,mismatch,critical,Musicians,Psy.jpg,new,new,match,„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Atemlos durch die Nacht,‘,veröffentlicht,",",“,das äußerte,Psy,Psy,Helene Fischer,yes,gegenüber interessierten Fans.
458,29,115,b,115b,"„Im Jahr*1967*habe ich*das Lied*‚Sag mir wo die Blumen sind‘*veröffentlicht,“*das äußerte*Louis Armstrong*gegenüber interessierten Fans.","Er äußerte, dass er 1967 ""Hello, Dolly!"" veröffentlicht hat.",fact_mismatch,no,fact mismatch,4,dead,match,mismatch,critical,Musicians,Louis_Armstrong.jpg,old,old,match,„,Im Jahr,1967,habe ich,das,Das,Lied,‚,Sag mir wo die Blumen sind,‘,veröffentlicht,",",“,das äußerte,Louis Armstrong,Louis Armstrong,Marlene Dietrich,yes,gegenüber interessierten Fans.
459,30,117,a,117a,"„Im Jahr*2011*habe ich*das Lied*‚Call Me Maybe‘*herausgebracht,“*das schilderte*Carly Rae Jepsen*in einem Interview.","Sie schilderte, dass sie das Lied 2011 herausgebracht hat.",match,yes,full match,8,alive,match,match,critical,Musicians,Carly_Rae_Jepsen.jpg,new,new,match,„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Call Me Maybe,‘,herausgebracht,",",“,das schilderte,Carly Rae Jepsen,Carly Rae Jepsen,Lady Gaga,no,in einem Interview.
460,30,119,a,119a,"„Im Jahr*1954*habe ich*das Lied*‚Stormy Blues‘*herausgebracht,“*das schilderte*Billie Holiday*in einem Interview.","Sie schilderte, dass sie ""Stormy Blues"" herausgebracht hat.",match,yes,full match,8,dead,match,match,critical,Musicians,Billie_Holiday.jpg,old,old,match,„,Im Jahr,1954,habe ich,das,Das,Lied,‚,Stormy Blues,‘,herausgebracht,",",“,das schilderte,Billie Holiday,Billie Holiday,Elvis Presley,no,in einem Interview.
461,31,122,d,122d,"„Im Jahr*2010*habe ich*das Lied*‚Like A Rolling Stone‘*aufgenommen,“*das behauptete*Nina Simone*auf einer Aftershowparty.","Sie behauptete, dass sie 2012 ""My Baby Just Cares for Me"" aufgenommen hat.",year_fact_mismatch,no,life-fact mismatch,6,dead,mismatch,mismatch,critical,Musicians,Nina_Simone.jpg,old,old,match,„,Im Jahr,2010,habe ich,das,Das,Lied,‚,Like A Rolling Stone,‘,aufgenommen,",",“,das behauptete,Nina Simone,Nina Simone,Bob Dylan,yes,auf einer Aftershowparty.
462,31,124,d,124d,"„Im Jahr*1965*habe ich*das Lied*‚Addicted to you‘*aufgenommen,“*das behauptete*Rihanna*auf einer Aftershowparty.","Sie behauptete, dass sie 1962 ""Rehab"" aufgenommen hat.",year_fact_mismatch,no,life-fact mismatch,6,alive,mismatch,mismatch,critical,Musicians,Rihanna.jpg,new,new,match,„,Im Jahr,1965,habe ich,das,Das,Lied,‚,Addicted to you,‘,aufgenommen,",",“,das behauptete,Rihanna,Rihanna,Shakira,yes,auf einer Aftershowparty.
483,2,6,b,6b,"„Im Jahr*2018*habe ich*das Lied*‚This Is America‘*aufgenommen,“*das verkündete*Namika*gegenüber der Presse.","Sie verkündete, dass sie 2018 ""Lieblingsmensch"" aufgenommen hat.",fact_mismatch,no,fact mismatch,2,alive,match,mismatch,critical,Musicians,Namika.jpg,NA,Das,NA,„,Im Jahr,2018,habe ich,das,Das,Lied,‚,This Is America,‘,aufgenommen,",",“,das verkündete,Namika,Namika,Childish Gambino,NA,gegenüber der Presse.
484,2,8,b,8b,"„Im Jahr*1982*habe ich*das Lied*‚Thriller‘*aufgenommen,“*das verkündete*David Bowie*gegenüber der Presse.",Er verkündete das gegenüber der Presse.,match,yes,fact mismatch,2,dead,match,mismatch,critical,Musicians,David_Bowie.jpg,NA,Das,NA,„,Im Jahr,1982,habe ich,das,Das,Lied,‚,Thriller,‘,aufgenommen,",",“,das verkündete,David Bowie,David Bowie,Michael Jackson,NA,gegenüber der Presse.
493,7,25,a,25a,"„Im Jahr*2020*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Lionel Messi*einer Nachrichtenagentur.",Er berichtete das einer Nachrichtenagentur.,match,yes,full match,6,alive,match,match,critical,Athletes,Lionel_Messi.jpg,new,new,match,„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Lionel Messi,Lionel Messi,Serena Williams,yes,einer Nachrichtenagentur.
494,7,27,a,27a,"„Im Jahr*1975*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Muhammad Ali*einer Nachrichtenagentur.","Er berichtete, dass er 1972 das Turnier im Curling gewonnen hat.",year_fact_mismatch,no,full match,6,dead,match,match,critical,Athletes,Muhammad_Ali.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Muhammad Ali,Muhammad Ali,Niki Lauda,yes,einer Nachrichtenagentur.
499,10,38,b,38b,"„Im Jahr*2015*habe ich*in dem Film*‚Die Tribute von Panem – Mockingjay‘*die Hauptrolle gespielt,“*das schilderte*Arnold Schwarzenegger*interessierten Fans.","Er verkündete, dass er 2015 die Hauptrolle gespielt hat.",match,yes,fact mismatch,6,alive,match,mismatch,critical,Actors,Arnold_Schwarzenegger.jpg,new,new,match,„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,Die Tribute von Panem – Mockingjay,‘,die Hauptrolle gespielt,",",“,das schilderte,Arnold Schwarzenegger,Arnold Schwarzenegger,Jennifer Lawrence,no,interessierten Fans.
500,10,40,b,40b,"„Im Jahr*1940*habe ich*in dem Film*‚The Invisible Woman‘*die Hauptrolle gespielt,“*das schilderte*Charlie Chaplin*interessierten Fans.","Er schilderte, dass er 1943 in ""The Invisible Woman"" die Hauptrolle gespielt hat.",year_mismatch,no,fact mismatch,6,dead,match,mismatch,critical,Actors,Charlie_Chaplin.jpg,old,old,match,„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,The Invisible Woman,‘,die Hauptrolle gespielt,",",“,das schilderte,Charlie Chaplin,Charlie Chaplin,Joan Fontaine,no,interessierten Fans.
503,12,45,d,45d,"„Im Jahr*2020*habe ich*mein Engagement für die*Bürgerrechtsbewegung*vorangetrieben,“*das verkündete*Nelson Mandela*auf einer Pressekonferenz.","Er verkündete, dass er 2018 sein Engagement für gesündere Ernährung vorangetrieben hat.",year_fact_mismatch,no,life-fact mismatch,6,dead,mismatch,mismatch,critical,Activist,Nelson_Mandela.jpg,new,old,mismatch,„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Bürgerrechtsbewegung,,vorangetrieben,",",“,das verkündete,Nelson Mandela,Nelson Mandela,Martin Luther King,no,auf einer Pressekonferenz.
504,12,47,d,47d,"„Im Jahr*1955*habe ich*mein Engagement für die*Erreichung der Klimaziele*vorangetrieben,“*das verkündete*Malala Yousafzai*auf einer Pressekonferenz.","Sie verkündete, dass sie 1955 ihr Engagement für die Erreichung der Klimaziele vorangetrieben hat.",match,yes,life-fact mismatch,6,alive,mismatch,mismatch,critical,Activist,Malala_Yousafzai.jpg,old,new,mismatch,„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Erreichung der Klimaziele,,vorangetrieben,",",“,das verkündete,Malala Yousafzai,Malala Yousafzai,Greta Thunberg,no,auf einer Pressekonferenz.
513,17,66,c,66c,"„Im Jahr*2017*habe ich*die Nation*U.S.A.*regiert,“*das berichtete*Franklin D. Roosevelt*einer Tageszeitung.","Er berichtete, dass er die U.S.A. regiert hat.",match,yes,life mismatch,6,dead,mismatch,match,critical,Policitians,Franklin_D._Roosevelt.jpg,old,old,match,„,Im Jahr,2017,habe ich,die,Die,Nation,,U.S.A.,,regiert,",",“,das berichtete,Franklin D. Roosevelt,Franklin D. Roosevelt,Winston Churchill,yes,einer Tageszeitung.
514,17,68,c,68c,"„Im Jahr*1942*habe ich*die Nation*Russland*regiert,“*das berichtete*Wladimir Putin*einer Tageszeitung.","Er berichtete, dass er das Land 1942 regiert hat.",match,yes,life mismatch,6,alive,mismatch,match,critical,Policitians,Wladimir_Putin.jpg,new,new,match,„,Im Jahr,1942,habe ich,die,Die,Nation,,Russland,,regiert,",",“,das berichtete,Wladimir Putin,Wladimir Putin,Emmanuel Macron,yes,einer Tageszeitung.
519,20,77,d,77d,"„Im Jahr*2008*habe ich*meine Erfindung*‚Glühbirne‘*vermarktet,“*das schilderte*Henry Ford*einer Tageszeitung.","Er schilderte, dass er 2010 die Glühbirne vermarktet hat.",year_mismatch,no,life-fact mismatch,2,dead,mismatch,mismatch,critical,Creators,Henry_Ford.jpg,old,old,match,„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Glühbirne,‘,vermarktet,",",“,das schilderte,Henry Ford,Henry Ford,Thomas Edison,no,einer Tageszeitung.
520,20,79,d,79d,"„Im Jahr*1908*habe ich*meine Erfindung*‚Tesla Roadster‘*vermarktet,“*das schilderte*Mark Zuckerberg*einer Tageszeitung.",Er schilderte das einer Tageszeitung.,match,yes,life-fact mismatch,2,alive,mismatch,mismatch,critical,Creators,Mark_Zuckerberg.jpg,new,new,match,„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Tesla Roadster,‘,vermarktet,",",“,das schilderte,Mark Zuckerberg,Mark Zuckerberg,Elon Musk,no,einer Tageszeitung.
523,22,85,b,85b,"„Im Jahr*2018*habe ich*in dem Film*‚A Star is Born‘*mitgespielt,“*das verkündete*Emma Stone*auf dem roten Teppich.","Sie verkündete, dass sie in ""A Star is Born"" mitgespielt hat.",match,yes,fact mismatch,6,alive,match,mismatch,critical,Actors,Emma_Stone.jpg,NA,Der,NA,„,Im Jahr,2018,habe ich,in dem,Der,Film,‚,A Star is Born,‘,mitgespielt,",",“,das verkündete,Emma Stone,Emma Stone,Bradley Cooper,NA,auf dem roten Teppich.
524,22,87,b,87b,"„Im Jahr*1962*habe ich*in dem Film*‚Doktor Schiwago‘*mitgespielt,“*das verkündete*John Wayne*auf dem roten Teppich.","Er verkündete, dass er 1960 in ""Doktor Schiwago"" mitgespielt hat.",year_mismatch,no,fact mismatch,6,dead,match,mismatch,critical,Actors,John_Wayne.jpg,NA,Der,NA,„,Im Jahr,1962,habe ich,in dem,Der,Film,‚,Doktor Schiwago,‘,mitgespielt,",",“,das verkündete,John Wayne,John Wayne,Omar Sharif,NA,auf dem roten Teppich.
529,25,98,c,98c,"„Im Jahr*2014*habe ich*das Lied*‚Stand By Me‘*herausgebracht,“*das stellte*John Lennon*bei einer Pressekonferenz fest.","Er stellte fest, dass er 2014 ""Imagine"" herausgebracht hat.",fact_mismatch,no,life mismatch,4,dead,mismatch,match,critical,Musicians,John_Lennon.jpg,new,old,mismatch,„,Im Jahr,2014,habe ich,das,Das,Lied,‚,Stand By Me,‘,herausgebracht,",",“,das stellte,John Lennon,John Lennon,Bob Marley,yes,bei einer Pressekonferenz fest.
530,25,100,c,100c,"„Im Jahr*1975*habe ich*das Lied*‚Rolling in the Deep‘*herausgebracht,“*das stellte*Adele*bei einer Pressekonferenz fest.",Sie stellte das bei einer Pressekonferenz fest.,match,yes,life mismatch,4,alive,mismatch,match,critical,Musicians,Adele.jpg,old,new,mismatch,„,Im Jahr,1975,habe ich,das,Das,Lied,‚,Rolling in the Deep,‘,herausgebracht,",",“,das stellte,Adele,Adele,Bruno Mars,yes,bei einer Pressekonferenz fest.
533,27,106,a,106a,"„Im Jahr*2017*habe ich*das Lied*‚Shape of You‘*aufgenommen,“*das berichtete*Ed Sheeran*auf einer Aftershowparty.","Er berichtete, dass er 2020 ""Shape of You"" aufgenommen hat.",year_mismatch,no,full match,4,alive,match,match,critical,Musicians,Ed_Sheeran.jpg,new,new,match,„,Im Jahr,2017,habe ich,das,Das,Lied,‚,Shape of You,‘,aufgenommen,",",“,das berichtete,Ed Sheeran,Ed Sheeran,Harry Styles,yes,auf einer Aftershowparty.
534,27,108,a,108a,"„Im Jahr*1991*habe ich*das Lied*‚Cream‘*aufgenommen,“*das berichtete*Prince*auf einer Aftershowparty.","Er berichtete, dass er 1994 ""Cream"" aufgenommen hat.",year_mismatch,no,full match,4,dead,match,match,critical,Musicians,Prince.jpg,old,old,match,„,Im Jahr,1991,habe ich,das,Das,Lied,‚,Cream,‘,aufgenommen,",",“,das berichtete,Prince,Prince,Freddie Mercury,yes,auf einer Aftershowparty.
537,29,113,c,113c,"„Im Jahr*2013*habe ich*das Lied*‚Sag mir wo die Blumen sind‘*veröffentlicht,“*das äußerte*Marlene Dietrich*gegenüber interessierten Fans.","Sie äußerte, dass sie 2013 ""Lili Marleen"" veröffentlicht hat.",fact_mismatch,no,life mismatch,8,dead,mismatch,match,critical,Musicians,Marlene_Dietrich.jpg,old,old,match,„,Im Jahr,2013,habe ich,das,Das,Lied,‚,Sag mir wo die Blumen sind,‘,veröffentlicht,",",“,das äußerte,Marlene Dietrich,Marlene Dietrich,Louis Armstrong,yes,gegenüber interessierten Fans.
538,29,115,c,115c,"„Im Jahr*1967*habe ich*das Lied*‚Atemlos durch die Nacht‘*veröffentlicht,“*das äußerte*Helene Fischer*gegenüber interessierten Fans.","Sie äußerte, dass sie 1967 ""Herzbeben"" veröffentlicht hat.",fact_mismatch,no,life mismatch,8,alive,mismatch,match,critical,Musicians,Helene_Fischer.jpg,new,new,match,„,Im Jahr,1967,habe ich,das,Das,Lied,‚,Atemlos durch die Nacht,‘,veröffentlicht,",",“,das äußerte,Helene Fischer,Helene Fischer,Psy,yes,gegenüber interessierten Fans.
539,30,117,b,117b,"„Im Jahr*2011*habe ich*das Lied*‚Call Me Maybe‘*herausgebracht,“*das schilderte*Lady Gaga*in einem Interview.","Sie schilderte, dass sie 2011 ""Marry the Night"" herausgebracht hat.",fact_mismatch,no,fact mismatch,6,alive,match,mismatch,critical,Musicians,Lady_Gaga.jpg,new,new,match,„,Im Jahr,2011,habe ich,das,Das,Lied,‚,Call Me Maybe,‘,herausgebracht,",",“,das schilderte,Lady Gaga,Lady Gaga,Carly Rae Jepsen,no,in einem Interview.
540,30,119,b,119b,"„Im Jahr*1956*habe ich*das Lied*‚Stormy Blues‘*herausgebracht,“*das schilderte*Elvis Presley*in einem Interview.",Er schilderte das in einem Interview.,match,yes,fact mismatch,6,dead,match,mismatch,critical,Musicians,Elvis_Presley.jpg,old,old,match,„,Im Jahr,1956,habe ich,das,Das,Lied,‚,Stormy Blues,‘,herausgebracht,",",“,das schilderte,Elvis Presley,Elvis Presley,Billie Holiday,no,in einem Interview.
541,31,121,a,121a,"„Im Jahr*2010*habe ich*das Lied*‚Love the Way You Lie‘*aufgenommen,“*das behauptete*Rihanna*auf einer Aftershowparty.","Sie behauptete, dass sie 2007 ""Rehab"" aufgenommen hat.",year_fact_mismatch,no,full match,1,alive,match,match,critical,Musicians,Rihanna.jpg,new,new,match,„,Im Jahr,2010,habe ich,das,Das,Lied,‚,Love the Way You Lie,‘,aufgenommen,",",“,das behauptete,Rihanna,Rihanna,Shakira,yes,auf einer Aftershowparty.
542,31,123,a,123a,"„Im Jahr*1965*habe ich*das Lied*‚I Put a Spell on You‘*aufgenommen,“*das behauptete*Nina Simone*auf einer Aftershowparty.","Sie behauptete, dass sie 1960 ""My Baby Just Cares for Me"" aufgenommen hat.",year_fact_mismatch,no,full match,1,dead,match,match,critical,Musicians,Nina_Simone.jpg,old,old,match,„,Im Jahr,1965,habe ich,das,Das,Lied,‚,I Put a Spell on You,‘,aufgenommen,",",“,das behauptete,Nina Simone,Nina Simone,Bob Dylan,yes,auf einer Aftershowparty.
563,2,6,c,6c,"„Im Jahr*2018*habe ich*das Lied*‚Thriller‘*aufgenommen,“*das verkündete*Michael Jackson*gegenüber der Presse.","Er verkündete, dass er das Lied 2018 aufgenommen hat.",match,yes,life mismatch,6,dead,mismatch,match,critical,Musicians,Michael_Jackson.png,NA,Das,NA,„,Im Jahr,2018,habe ich,das,Das,Lied,‚,Thriller,‘,aufgenommen,",",“,das verkündete,Michael Jackson,Michael Jackson,David Bowie,NA,gegenüber der Presse.
564,2,8,c,8c,"„Im Jahr*1982*habe ich*das Lied*‚This Is America‘*aufgenommen,“*das verkündete*Childish Gambino*gegenüber der Presse.","Er verkündete, dass er 1982 ""This Is America"" aufgenommen hat.",match,yes,life mismatch,6,alive,mismatch,match,critical,Musicians,Childish_Gambino.png,NA,Das,NA,„,Im Jahr,1982,habe ich,das,Das,Lied,‚,This Is America,‘,aufgenommen,",",“,das verkündete,Childish Gambino,Childish Gambino,Namika,NA,gegenüber der Presse.
573,7,25,b,25b,"„Im Jahr*2020*habe ich*das Turnier im*Fußball*gewonnen,“*das berichtete*Serena Williams*einer Nachrichtenagentur.","Sie berichtete, dass sie 2015 das Turnier im Badminton gewonnen hat.",year_fact_mismatch,no,fact mismatch,4,alive,match,mismatch,critical,Athletes,Serena_Williams.jpg,new,new,match,„,Im Jahr,2020,habe ich,das,Ein,Turnier im,,Fußball,,gewonnen,",",“,das berichtete,Serena Williams,Serena Williams,Lionel Messi,yes,einer Nachrichtenagentur.
574,7,27,b,27b,"„Im Jahr*1975*habe ich*das Turnier im*Boxen*gewonnen,“*das berichtete*Niki Lauda*einer Nachrichtenagentur.","Er berichtete, dass er das Turnier 1975 gewonnen hat.",match,yes,fact mismatch,4,dead,match,mismatch,critical,Athletes,Niki_Lauda.jpg,old,old,match,„,Im Jahr,1975,habe ich,das,Ein,Turnier im,,Boxen,,gewonnen,",",“,das berichtete,Niki Lauda,Niki Lauda,Muhammad Ali,yes,einer Nachrichtenagentur.
579,10,38,c,38c,"„Im Jahr*2015*habe ich*in dem Film*‚The Invisible Woman‘*die Hauptrolle gespielt,“*das schilderte*Joan Fontaine*interessierten Fans.","Sie schilderte, dass sie 2015 in ""Brief einer Unbekannten"" die Hauptrolle gespielt hat.",fact_mismatch,no,life mismatch,2,dead,mismatch,match,critical,Actors,Joan_Fontaine.jpg,old,old,match,„,Im Jahr,2015,habe ich,in dem,Der,Film,‚,The Invisible Woman,‘,die Hauptrolle gespielt,",",“,das schilderte,Joan Fontaine,Joan Fontaine,Charlie Chaplin,no,interessierten Fans.
580,10,40,c,40c,"„Im Jahr*1940*habe ich*in dem Film*‚Die Tribute von Panem – Mockingjay‘*die Hauptrolle gespielt,“*das schilderte*Jennifer Lawrence*interessierten Fans.","Sie schilderte, dass sie 1940 in ""Die Tribute von Panem – Mockingjay"" die Hauptrolle gespielt hat.",match,yes,life mismatch,2,alive,mismatch,match,critical,Actors,Jennifer_Lawrence.jpg,new,new,match,„,Im Jahr,1940,habe ich,in dem,Der,Film,‚,Die Tribute von Panem – Mockingjay,‘,die Hauptrolle gespielt,",",“,das schilderte,Jennifer Lawrence,Jennifer Lawrence,Arnold Schwarzenegger,no,interessierten Fans.
583,12,46,a,46a,"„Im Jahr*2020*habe ich*mein Engagement für die*Rechte junger Frauen*vorangetrieben,“*das verkündete*Malala Yousafzai*auf einer Pressekonferenz.","Sie verkündete, dass sie 2020 ihr Engagement für die Rechte junger Frauen vorangetrieben hat.",match,yes,full match,1,alive,match,match,critical,Activist,Malala_Yousafzai.jpg,new,new,match,„,Im Jahr,2020,habe ich,mein,,Engagement für die,,Rechte junger Frauen,,vorangetrieben,",",“,das verkündete,Malala Yousafzai,Malala Yousafzai,Greta Thunberg,no,auf einer Pressekonferenz.
584,12,48,a,48a,"„Im Jahr*1955*habe ich*mein Engagement für die*Abschaffung der Apartheid*vorangetrieben,“*das verkündete*Nelson Mandela*auf einer Pressekonferenz.","Er verkündete, dass er 1959 sein Engagement für gesündere Ernährung vorangetrieben hat.",year_fact_mismatch,no,full match,1,dead,match,match,critical,Activist,Nelson_Mandela.jpg,old,old,match,„,Im Jahr,1955,habe ich,mein,,Engagement für die,,Abschaffung der Apartheid,,vorangetrieben,",",“,das verkündete,Nelson Mandela,Nelson Mandela,Martin Luther King,no,auf einer Pressekonferenz.
593,17,66,d,66d,"„Im Jahr*2017*habe ich*die Nation*U.S.A.*regiert,“*das berichtete*Winston Churchill*einer Tageszeitung.","Er berichtete, dass er 2013 Spanien regiert hat.",year_fact_mismatch,no,life-fact mismatch,8,dead,mismatch,mismatch,critical,Policitians,Winston_Churchill.jpg,old,old,match,„,Im Jahr,2017,habe ich,die,Die,Nation,,U.S.A.,,regiert,",",“,das berichtete,Winston Churchill,Winston Churchill,Franklin D. Roosevelt,yes,einer Tageszeitung.
594,17,68,d,68d,"„Im Jahr*1942*habe ich*die Nation*Russland*regiert,“*das berichtete*Emmanuel Macron*einer Tageszeitung.","Er berichtete, dass er 1944 Russland regiert hat.",year_mismatch,no,life-fact mismatch,8,alive,mismatch,mismatch,critical,Policitians,Emmanuel_Macron.jpg,new,new,match,„,Im Jahr,1942,habe ich,die,Die,Nation,,Russland,,regiert,",",“,das berichtete,Emmanuel Macron,Emmanuel Macron,Wladimir Putin,yes,einer Tageszeitung.
599,20,78,a,78a,"„Im Jahr*2008*habe ich*meine Erfindung*‚Facebook‘*vermarktet,“*das schilderte*Mark Zuckerberg*einer Tageszeitung.",Er schilderte das einer Tageszeitung.,match,yes,full match,5,alive,match,match,critical,Creators,Mark_Zuckerberg.jpg,new,new,match,„,Im Jahr,2008,habe ich,meine,Die,Erfindung,‚,Facebook,‘,vermarktet,",",“,das schilderte,Mark Zuckerberg,Mark Zuckerberg,Elon Musk,no,einer Tageszeitung.
600,20,80,a,80a,"„Im Jahr*1908*habe ich*meine Erfindung*‚Ford Model T‘*vermarktet,“*das schilderte*Henry Ford*einer Tageszeitung.","Er schilderte, dass er 1910 das Ford Model T vermarktet hat.",year_mismatch,no,full match,5,dead,match,match,critical,Creators,Henry_Ford.jpg,old,old,match,„,Im Jahr,1908,habe ich,meine,Die,Erfindung,‚,Ford Model T,‘,vermarktet,",",“,das schilderte,Henry Ford,Henry Ford,Thomas Edison,no,einer Tageszeitung.
603,22,85,c,85c,"„Im Jahr*2018*habe ich*in dem Film*‚Doktor Schiwago‘*mitgespielt,“*das verkündete*Omar Sharif*auf dem roten Teppich.","Er verkündete, dass er 2018 in dem Film mitgespielt hat.",match,yes,life mismatch,2,dead,mismatch,match,critical,Actors,Omar_Sharif.jpg,NA,Der,NA,„,Im Jahr,2018,habe ich,in dem,Der,Film,‚,Doktor Schiwago,‘,mitgespielt,",",“,das verkündete,Omar Sharif,Omar Sharif,John Wayne,NA,auf dem roten Teppich.
